gcf1,gcf2,count,jaccard_index,distance,weight
GCF_15116e5966,GCF_8f808d82c0,27,0.9,0.09999999999999998,0.9
GCF_2c4a74bd3a,GCF_8f808d82c0,27,0.9,0.09999999999999998,0.9
GCF_39ed86d51c,GCF_4d9730791e,90,0.9,0.09999999999999998,0.9
GCF_596653749a,GCF_c7f3659a42,45,0.9,0.09999999999999998,0.9
GCF_eb4d0a780d,GCF_fbb061d3fa,36,0.9,0.09999999999999998,0.9
GCF_eb4d0a780d,GCF_ff01f500d5,36,0.9,0.09999999999999998,0.9
GCF_5337d7ab24,GCF_b5135d57ee,44,0.89795918,0.10204082000000003,0.89795918
GCF_b5135d57ee,GCF_ec3686c288,44,0.89795918,0.10204082000000003,0.89795918
GCF_190c450ae3,GCF_e6feb9da77,149,0.89759036,0.10240963999999997,0.89759036
GCF_11d524052c,GCF_570c0f956e,35,0.8974359,0.10256410000000005,0.8974359
GCF_1fd0017655,GCF_fbb061d3fa,35,0.8974359,0.10256410000000005,0.8974359
GCF_1fd0017655,GCF_ff01f500d5,35,0.8974359,0.10256410000000005,0.8974359
GCF_29feb4e8ad,GCF_570c0f956e,35,0.8974359,0.10256410000000005,0.8974359
GCF_45621840d1,GCF_87f71cd7de,35,0.8974359,0.10256410000000005,0.8974359
GCF_45621840d1,GCF_9cff6a0632,35,0.8974359,0.10256410000000005,0.8974359
GCF_4b6a48dc37,GCF_570c0f956e,35,0.8974359,0.10256410000000005,0.8974359
GCF_570c0f956e,GCF_77cb185f51,35,0.8974359,0.10256410000000005,0.8974359
GCF_570c0f956e,GCF_b4b3bbab9b,35,0.8974359,0.10256410000000005,0.8974359
GCF_a11a99f7a7,GCF_fbb061d3fa,35,0.8974359,0.10256410000000005,0.8974359
GCF_a11a99f7a7,GCF_ff01f500d5,35,0.8974359,0.10256410000000005,0.8974359
GCF_115f42156c,GCF_ff1459e725,68,0.89473684,0.10526316000000002,0.89473684
GCF_1329b1b740,GCF_1e4f7238bc,34,0.89473684,0.10526316000000002,0.89473684
GCF_149c6e1db5,GCF_f6a57e7b4e,51,0.89473684,0.10526316000000002,0.89473684
GCF_1b1afb95f4,GCF_ba4edafe49,34,0.89473684,0.10526316000000002,0.89473684
